平成28年,人口動態調査,,
下巻　死亡　第３表　死亡数，性・死亡月・死因（死因簡単分類）別
※本表の数値は、2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計後の数値である。
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,男　Ｍ．,7244,753,690,669,638,554,522,535,559,490,568,576,690
,女　Ｆ．,6239,627,567,543,518,514,432,431,472,434,534,573,594
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,7855,792,699,696,595,571,526,564,658,604,652,691,807
,男　Ｍ．,3494,371,313,330,241,257,234,258,286,277,277,311,339
,女　Ｆ．,4361,421,386,366,354,314,292,306,372,327,375,380,468
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14186,1367,1211,1162,1143,1125,975,1042,1085,1132,1239,1363,1342
,男　Ｍ．,4415,445,363,373,377,349,306,327,325,354,370,424,402
,女　Ｆ．,9771,922,848,789,766,776,669,715,760,778,869,939,940
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,11898,1131,1009,962,971,961,829,850,904,948,1048,1152,1133
,男　Ｍ．,3378,334,269,290,287,264,239,251,252,261,291,332,308
,女　Ｆ．,8520,797,740,672,684,697,590,599,652,687,757,820,825
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,2288,236,202,200,172,164,146,192,181,184,191,211,209
,男　Ｍ．,1037,111,94,83,90,85,67,76,73,93,79,92,94
,女　Ｆ．,1251,125,108,117,82,79,79,116,108,91,112,119,115
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,33367,2951,2738,2844,2648,2564,2432,2569,2720,2745,2909,2993,3254
,男　Ｍ．,14943,1362,1213,1285,1233,1169,1067,1141,1185,1232,1268,1327,1461
,女　Ｆ．,18424,1589,1525,1559,1415,1395,1365,1428,1535,1513,1641,1666,1793
