令和５年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,16456,1757,1380,1322,1304,1244,1162,1172,1275,1371,1457,1450,1562
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,23825,2492,1981,1912,1894,1813,1701,1668,1902,1984,2104,2158,2216
,男　Ｍ．,8829,881,702,724,707,672,656,605,740,745,772,821,804
,女　Ｆ．,14996,1611,1279,1188,1187,1141,1045,1063,1162,1239,1332,1337,1412
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,3042,307,247,262,243,194,216,247,235,269,263,256,303
,男　Ｍ．,1582,161,146,128,126,91,99,138,122,137,138,143,153
,女　Ｆ．,1460,146,101,134,117,103,117,109,113,132,125,113,150
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,61524,6052,5211,5204,4817,4787,4422,4638,4870,5001,5420,5275,5827
,男　Ｍ．,27934,2729,2323,2315,2244,2175,2012,2100,2184,2308,2473,2418,2653
,女　Ｆ．,33590,3323,2888,2889,2573,2612,2410,2538,2686,2693,2947,2857,3174
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,298,23,17,37,30,34,24,21,22,31,15,19,25
,男　Ｍ．,174,12,11,21,19,23,15,15,13,18,7,7,13
,女　Ｆ．,124,11,6,16,11,11,9,6,9,13,8,12,12
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2800,246,229,237,232,227,242,218,245,223,246,223,232
,男　Ｍ．,1630,146,125,136,140,149,130,122,144,129,143,132,134
,女　Ｆ．,1170,100,104,101,92,78,112,96,101,94,103,91,98
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,13698,1355,1164,1111,1090,1025,999,1081,1058,1066,1217,1191,1341
,男　Ｍ．,7004,685,590,582,572,518,484,551,540,554,593,631,704
,女　Ｆ．,6694,670,574,529,518,507,515,530,518,512,624,560,637
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25453,2486,2175,2194,1941,1998,1784,1855,2011,2139,2233,2173,2464
,男　Ｍ．,8649,855,702,724,685,663,618,622,684,738,778,741,839
,女　Ｆ．,16804,1631,1473,1470,1256,1335,1166,1233,1327,1401,1455,1432,1625
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,19275,1942,1626,1625,1524,1503,1373,1463,1534,1542,1709,1669,1765
,男　Ｍ．,10477,1031,895,852,828,822,765,790,803,869,952,907,963
,女　Ｆ．,8798,911,731,773,696,681,608,673,731,673,757,762,802
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6,-,-,-,-,1,-,2,3,-,-,-,-
,男　Ｍ．,2,-,-,-,-,-,-,-,2,-,-,-,-
,女　Ｆ．,4,-,-,-,-,1,-,2,1,-,-,-,-
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25,4,1,-,-,2,1,2,3,3,3,3,3
,男　Ｍ．,12,1,-,-,-,-,-,2,1,3,2,1,2
,女　Ｆ．,13,3,1,-,-,2,1,-,2,-,1,2,1
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,376720,42440,34572,33100,29867,28740,25460,27407,29284,27366,30269,31646,36569
,男　Ｍ．,184344,21233,17001,16067,14420,13895,12336,13396,14465,13336,14659,15389,18147
,女　Ｆ．,192376,21207,17571,17033,15447,14845,13124,14011,14819,14030,15610,16257,18422
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11396,1419,1112,999,843,812,711,839,951,782,915,960,1053
,男　Ｍ．,4975,619,485,407,343,343,326,385,426,370,399,411,461
,女　Ｆ．,6421,800,627,592,500,469,385,454,525,412,516,549,592
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,6104,755,630,524,465,456,384,417,463,435,512,528,535
,男　Ｍ．,2567,319,265,208,184,177,174,189,192,198,214,212,235
,女　Ｆ．,3537,436,365,316,281,279,210,228,271,237,298,316,300
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,5292,664,482,475,378,356,327,422,488,347,403,432,518
,男　Ｍ．,2408,300,220,199,159,166,152,196,234,172,185,199,226
