令和６年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
,女　Ｆ．,4951,458,421,422,414,367,373,414,398,369,452,402,461
03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,総数,4882,494,378,421,385,396,346,393,404,408,396,401,460
,男　Ｍ．,2199,227,172,189,179,169,151,167,199,178,178,183,207
,女　Ｆ．,2683,267,206,232,206,227,195,226,205,230,218,218,253
03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2565,271,209,222,212,198,156,193,202,210,214,217,261
,男　Ｍ．,1080,111,81,88,95,78,59,78,93,90,100,95,112
,女　Ｆ．,1485,160,128,134,117,120,97,115,109,120,114,122,149
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,2317,223,169,199,173,198,190,200,202,198,182,184,199
,男　Ｍ．,1119,116,91,101,84,91,92,89,106,88,78,88,95
,女　Ｆ．,1198,107,78,98,89,107,98,111,96,110,104,96,104
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,25662,2571,2361,2403,2025,1945,1809,2098,2173,1889,1878,2015,2495
,男　Ｍ．,13812,1393,1272,1322,1068,1046,959,1152,1209,966,1000,1064,1361
,女　Ｆ．,11850,1178,1089,1081,957,899,850,946,964,923,878,951,1134
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14959,1502,1395,1409,1210,1150,1055,1198,1239,1080,1081,1164,1476
,男　Ｍ．,8603,868,816,811,672,655,600,699,740,609,616,659,858
,女　Ｆ．,6356,634,579,598,538,495,455,499,499,471,465,505,618
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,10703,1069,966,994,815,795,754,900,934,809,797,851,1019
,男　Ｍ．,5209,525,456,511,396,391,359,453,469,357,384,405,503
,女　Ｆ．,5494,544,510,483,419,404,395,447,465,452,413,446,516
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,27954,2692,2432,2452,2190,2176,1994,2135,2201,2278,2324,2392,2688
,男　Ｍ．,10931,1039,954,926,880,859,797,836,888,881,898,928,1045
,女　Ｆ．,17023,1653,1478,1526,1310,1317,1197,1299,1313,1397,1426,1464,1643
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,24666,2387,2156,2157,1957,1927,1728,1885,1918,2020,2042,2114,2375
,男　Ｍ．,9261,883,809,770,762,738,652,720,723,750,767,799,888
,女　Ｆ．,15405,1504,1347,1387,1195,1189,1076,1165,1195,1270,1275,1315,1487
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,3288,305,276,295,233,249,266,250,283,258,282,278,313
,男　Ｍ．,1670,156,145,156,118,121,145,116,165,131,131,129,157
,女　Ｆ．,1618,149,131,139,115,128,121,134,118,127,151,149,156
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,62946,5794,5391,5547,4904,4829,4632,4877,5074,5089,5272,5426,6111
,男　Ｍ．,29089,2727,2477,2561,2267,2161,2206,2242,2358,2336,2397,2507,2850
,女　Ｆ．,33857,3067,2914,2986,2637,2668,2426,2635,2716,2753,2875,2919,3261
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,334,28,24,33,25,32,36,23,24,20,35,22,32
,男　Ｍ．,197,11,16,21,15,16,24,12,15,14,22,13,18
,女　Ｆ．,137,17,8,12,10,16,12,11,9,6,13,9,14
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2824,246,241,240,223,225,228,235,245,200,216,247,278
,男　Ｍ．,1657,156,150,142,140,132,131,128,132,122,128,139,157
,女　Ｆ．,1167,90,91,98,83,93,97,107,113,78,88,108,121
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14426,1322,1229,1241,1035,1099,1041,1093,1233,1214,1248,1223,1448
,男　Ｍ．,7579,728,638,666,517,535,585,566,629,628,655,635,797
,女　Ｆ．,6847,594,591,575,518,564,456,527,604,586,593,588,651
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25595,2392,2175,2302,2066,1913,1870,1998,1948,2086,2169,2224,2452
,男　Ｍ．,8883,847,733,801,721,655,664,706,696,726,729,768,837
,女　Ｆ．,16712,1545,1442,1501,1345,1258,1206,1292,1252,1360,1440,1456,1615
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,19767,1806,1722,1731,1555,1560,1457,1528,1624,1569,1604,1710,1901
,男　Ｍ．,10773,985,940,931,874,823,802,830,886,846,863,952,1041
,女　Ｆ．,8994,821,782,800,681,737,655,698,738,723,741,758,860
