平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14181,1535,1393,1311,1133,1070,1064,1012,1056,1038,1093,1168,1308
,男　Ｍ．,7831,864,765,707,621,561,571,565,620,570,583,663,741
,女　Ｆ．,6350,671,628,604,512,509,493,447,436,468,510,505,567
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,8459,919,815,762,662,651,586,677,734,587,654,679,733
,男　Ｍ．,3926,415,400,382,283,310,253,289,349,275,298,318,354
,女　Ｆ．,4533,504,415,380,379,341,333,388,385,312,356,361,379
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,22551,2121,1879,1948,1793,1750,1645,1763,1702,1819,1889,2078,2164
,男　Ｍ．,8434,789,691,750,672,654,599,665,622,718,686,785,803
,女　Ｆ．,14117,1332,1188,1198,1121,1096,1046,1098,1080,1101,1203,1293,1361
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,20521,1916,1685,1767,1628,1594,1500,1609,1579,1654,1741,1895,1953
,男　Ｍ．,7377,676,592,653,586,570,523,580,565,625,618,695,694
,女　Ｆ．,13144,1240,1093,1114,1042,1024,977,1029,1014,1029,1123,1200,1259
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,2030,205,194,181,165,156,145,154,123,165,148,183,211
,男　Ｍ．,1057,113,99,97,86,84,76,85,57,93,68,90,109
,女　Ｆ．,973,92,95,84,79,72,69,69,66,72,80,93,102
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,48249,4521,3970,4076,3734,3838,3539,3742,3766,3814,4252,4465,4532
,男　Ｍ．,22335,2135,1866,1914,1755,1769,1625,1713,1714,1703,1987,2055,2099
